-2302.05, 211.08, -3595.50
-1753.13, 201.63, -4106.43
-1842.23, 210.14, -4221.94
-1828.66, 206.58, -4217.56
-1830.84, 200.89, -4294.49
-1874.41, 224.38, -4228.54
-2714.16, 201.49, -3956.18
-2718.27, 203.08, -4021.79
-2706.24, 211.23, -4038.28
-2771.16, 200.83, -3998.38
-2835.95, 201.28, -4019.66
-2832.04, 206.12, -4118.04
-2806.06, 208.85, -4187.33
-2771.52, 217.45, -4230.33
-2798.67, 208.85, -4258.19
-2866.78, 200.99, -4281.76
-2621.29, 201.61, -4092.35
-2623.74, 212.97, -4132.02
-2612.94, 221.37, -4190.04
-2507.77, 201.92, -4114.92
-2437.66, 228.01, -4204.23
-2403.37, 205.57, -4175.38
-2322.25, 240.40, -4176.81
-2283.17, 203.41, -4207.46
-3095.66, 244.69, -4378.61
-2460.38, 259.10, -4258.56
-2341.65, 213.47, -4402.26
-2376.41, 240.31, -4464.30
-2428.88, 304.41, -4417.63
-2438.03, 247.76, -4507.44
-2454.47, 200.97, -4645.61
-2472.70, 205.83, -4673.28
-2324.18, 166.72, -4815.00
-2248.91, 201.10, -4844.05
-2240.11, 155.17, -4845.08
-2222.30, 156.14, -4923.98
-3247.15, 204.99, -3884.51
-2494.44, 278.36, -4280.11
-2569.20, 243.07, -4303.72
-2699.12, 232.91, -4277.96
-2488.83, 394.73, -4429.77
-2487.88, 242.71, -4461.36
-2686.83, 252.26, -4474.88
-2894.71, 205.22, -4206.98
-2967.83, 202.18, -4117.68
-2964.99, 206.26, -4069.39
-2965.47, 202.36, -3925.14
-2747.78, 215.27, -4338.03
-2822.16, 225.83, -4407.00
-2835.51, 202.06, -4570.82
-2694.94, 205.68, -4636.00
-2110.49, 164.90, -4386.84
-3337.61, 206.03, -4261.58
-3374.48, 201.67, -4287.12
-3033.21, 219.57, -4426.79
-3057.93, 238.14, -4440.68
-3100.10, 248.91, -4449.43
-3113.41, 227.26, -4363.79
-3153.66, 249.43, -4404.22
-3425.02, 342.13, -4610.02
-3391.76, 283.31, -4512.50
-3356.26, 294.93, -4531.52
-3319.30, 269.38, -4458.59
-3275.71, 268.54, -4515.29
-3243.85, 272.20, -4563.16
-3278.14, 296.57, -4599.65
-3233.81, 200.86, -3898.27
-3247.15, 204.99, -3884.51
-3126.22, 202.32, -3258.00
-3197.77, 209.87, -3392.50
-3128.10, 203.96, -3462.21
-3148.54, 201.29, -3530.06
-3251.78, 224.78, -3474.16
-3263.09, 206.87, -3609.02
-3305.10, 209.45, -3564.56
-3354.51, 202.81, -3707.13
-3399.79, 203.56, -3427.39
-3565.21, 201.26, -3429.65
-3502.75, 202.32, -3194.35
-3557.91, 224.35, -3269.84
-3744.87, 201.05, -3359.32
-3525.77, 201.21, -3037.03
-3543.12, 208.98, -3045.21
-3589.92, 242.27, -3115.45
-3626.36, 201.52, -2990.14
-3713.42, 201.47, -2861.37
-3715.79, 261.35, -2969.38
-3853.20, 230.26, -2978.15
-3910.08, 205.64, -3025.79
-3950.72, 203.00, -2958.00
-3985.04, 201.17, -3035.59
-4032.13, 200.99, -3183.91
-3966.19, 256.15, -3157.85
-3932.95, 202.10, -3318.82
-3834.76, 201.26, -3275.56
-3730.16, 231.06, -3259.50
-3659.62, 230.79, -3088.52
-3832.53, 255.09, -3146.59
-3543.74, 216.61, -3279.23
-3665.52, 207.80, -3182.15
-3789.80, 206.42, -3191.38
-3838.87, 238.18, -3229.44
-3812.51, 218.73, -3242.67
-3896.39, 365.25, -3159.44
-3798.09, 202.57, -3087.13
-3580.49, 201.05, -2878.36
-3448.89, 201.70, -2776.83
-3516.71, 207.02, -2281.67
-3464.40, 208.45, -2150.74
-3594.09, 250.75, -2081.98
-3669.29, 229.97, -1973.65
-3589.49, 202.21, -1776.92
-3656.46, 233.44, -2264.20
-3816.35, 238.65, -2118.10
-3801.36, 217.05, -2579.07
-3827.70, 293.16, -2355.96
-3900.84, 259.42, -2479.97
-3896.04, 261.74, -2457.74
-3957.56, 362.83, -2435.62
-3981.32, 256.18, -2368.71
-3903.96, 214.82, -2080.44
-4077.38, 200.98, -2153.11
-3762.83, 201.64, -1381.09
-4044.99, 206.83, -1412.23
